Term,Average_Polarity
αβαφτιστ,0.0
χριστ,-0.25
αβαπτιστ,0.0
αβεβαιοτητ,-0.5
αγαμητ,-1.0
αγανακτης,-1.0
αγανακτω,-1.0
αγαπ,1.0
αγγελ,0.5
αγελ,-0.75
αγευσι,-0.25
αγκουσευ,-1.0
αγορευ,-0.75
αγριεμ,-1.0
αγριευ,-1.0
αγροτοπατερ,-1.0
αγχ,-1.0
αγωνι,-0.5
αδειαζ,-0.75
αδειασμ,-0.75
αδελφατ,-0.75
αδελφ,0.625
αδελφοσυν,1.0
αδελφουλ,1.0
αδερφ,1.0
αδερφουλ,1.0
αδιαθετ,-0.25
αδιαφορι,-1.0
αερ,0.0
αεροβατω,-0.75
αηδι,-1.0
αηδιαζ,-1.0
αθλ,1.0
αιδημοσυν,-0.75
αιδως,-0.75
αιμ,-0.5
αιρεσιαρχ,-0.5
αισθαν,0.0
αισθαντικοτητ,0.75
αισθημ,0.0
αισθηματι,0.25
αισθηματικοτητ,0.5
αισθηματισμ,-0.5
αισθηματολογι,-0.5
αισθηματολογ,-0.5
αισθης,0.0
αιωνι,0.0
ακαδημαικ,0.0
ακαλαισθησι,-1.0
ακαπν,-0.25
ακηδεμονευτ,-0.5
ακουω,0.25
αλεπ,-0.25
αλευρων,-0.5
αλητακ,-0.75
αληταμπουρ,-1.0
αληταρ,-1.0
αληταρι,-1.0
αλητ,-0.75
αλητοπαρε,-0.75
αλητοτουριστ,-1.0
αλιευ,-0.5
αλλ,0.0
αλλαξοκωλι,-0.75
αλλαχ,-0.5
αλληθωριζ,-0.5
αλλοπιστ,-0.75
αλογ,-1.0
αλογομουρ,-1.0
αλυσιδ,-0.5
αλυτρωτ,-0.75
αμαν,-0.75
αμιμητ,0.5
αμοιβαιοτητ,0.5
αμοιβ,0.0
αμφιθυμι,-0.5
αναβ,-0.25
αναγαλλιαζ,1.0
αναθεμ,-1.0
αναισθησι,-1.0
αναισχυντι,-1.0
ανακατεμ,-1.0
ανακατευ,-0.75
ανακραζ,-0.5
αναλαμβανω,0.0
αναλγησι,-0.75
αναλιγων,-0.5
αναμμ,-0.5
αναπηδ,-0.5
αναπλαθ,0.5
αναπλας,0.5
αναπτερων,1.0
αναριγ,-1.0
αναρριπιζ,0.75
ανασκιρτω,-0.25
αναστατων,-0.75
αναστατως,-0.75
αναστεναγμ,-0.5
ανασφαλει,-1.0
ανατριχιαζ,-0.75
ανατριχιλ,-0.75
ανδραγαθημ,0.75
ανδρεικελο,-1.0
ανεκδιηγητ,-1.0
ανεκδοτολογι,-0.75
ανελεημον,-1.0
ανεμιζ,0.0
ανες,0.5
ανευθυνολογ,-1.0
ανθρωπακ,-0.75
ανθρωπι,1.0
ανθρωπ,0.5
ανθρωποφοβι,-1.0
ανι,-1.0
ανοι,-0.75
ανοιγ,0.0
ανορθων,0.25
ανταποκριν,0.5
αντ,-0.5
αντιγραφε,-0.5
αντιπαθει,-1.0
αντιπαθ,-1.0
αντιστεκ,-0.25
αντιχριστ,-1.0
ανυπομονησι,0.25
ανυπομον,0.25
ανωτεροτητ,1.0
αξι,0.5
απαγγελλ,0.0
απαλυν,0.75
απανθρωπι,-1.0
απανθρωποποιης,-0.75
απαξαπαντ,-0.25
απελπισι,-1.0
απεχθανομα,-1.0
απεχθει,-1.0
απηδηχτ,-0.75
απογοητευς,-1.0
απογοητευ,-1.0
αποδοκιμασι,-1.0
αποδ,-0.5
αποζητω,0.0
αποζουρλαιν,-0.5
απολαυς,1.0
απολειφαδ,-1.0
αποναρκως,-0.5
αποπνε,0.0
απορφανιζ,-0.75
αποσβολων,0.0
αποσκατ,-1.0
αποστασιοποι,-0.5
αποστερης,-0.75
αποστολ,0.0
αποστρεφ,-1.0
αποστροφ,-1.0
αποτροπιασμ,-1.0
αποτυφλων,-0.5
αποφοιτ,0.0
αποφορτιζ,0.0
αποφορτις,0.0
αποχαιρετισμ,-1.0
αποχρως,0.0
αποχωρισμ,-1.0
απροικιστ,-0.75
απωθης,-0.75
απωθω,-0.75
αραμπ,-0.5
αραπακλ,-1.0
αραπ,-1.0
αραπι,-0.75
αρβανιτ,-0.75
αρβανιτικ,-0.75
αρβυλ,-0.75
αρειμανιος,-1.0
αρεσκ,1.0
αρες,1.0
αριστοκρατ,-0.5
αριστοκρατι,-0.5
αριστοκρατισς,-0.5
αρμονι,1.0
αρναουτ,-0.75
αρναουτικ,-0.75
αρρωστ,-1.0
αρρωστοφαγι,-0.75
αρχαι,-0.25
αρχιδατ,1.0
αρχιδ,-0.75
αρχικλεφταρ,-1.0
αρχικλεφτ,-1.0
αρχιμασον,-0.75
αρχιμαφιοζ,-1.0
αρχιτεκτον,0.25
αρχιτεμπελ,-1.0
αρχιψευτ,-1.0
αρχιψευτρ,-1.0
αρχομαν,-1.0
αρχοντανθρωπ,1.0
αρχον,0.5
ασακι,0.25
ασκερ,-0.75
ασμ,0.0
ας,0.75
ασπιδ,-0.25
ασπονδ,-0.75
ασπονδυλ,-0.5
ασπρουλιαρ,-0.75
ασσακι,0.25
ασς,0.75
ασταθει,-0.75
αστοιχειωτ,-1.0
αστραφτ,0.5
ασφαλει,1.0
ασφαλιτ,-1.0
ασφυκτιω,-1.0
ασφυξι,-0.75
αυθαδομουτρ,-1.0
αυλ,-0.75
αυριανισμ,-1.0
αυταπατ,-0.75
αυτ,-0.1875
αυτοικανοποιης,-0.5
αυτοικανοποι,-0.75
αυτοκυριαρχι,0.75
αυτοκυριαρχ,0.75
αυτοσεβασμ,0.75
αυτοσυγκρατης,0.75
αυτοσυγκρατ,0.5
αυτοσυναισθημ,0.0
αυτοτελει,0.5
αφαιρω,-0.75
αφεντι,-0.25
αφ,0.0
αφηγ,0.0
αφηνιαζω,-1.0
αφιλανθρωπι,-0.75
αφιονιζ,-0.75
αφοσιως,1.0
αφυπνιζ,0.5
αφυπνις,0.5
αχ,0.0
αχυρανθρωπ,-1.0
αψιθυμι,-0.5
βαλκανι,-0.5
βαραιν,-1.0
βαρελ,-0.625
βαρελακ,-0.75
βαρ,-0.875
βαριεστημαρ,-1.0
βαριεστ,-1.0
βαρυμαγκ,-0.75
βαρυπενθουν,-1.0
βαρυπενθους,-1.0
βαρυπενθ,-1.0
βαρυστομαχι,-1.0
βαρυστομαχιαζ,-1.0
βαφτιστικ,0.5
βγαιν,0.0
βδελυγμι,-1.0
βεβαιων,0.0
βλακει,-0.75
βλαμμεν,-0.75
βλαχακ,-0.75
βλαχαρ,-1.0
βλαχι,-1.0
βλαχ,-1.0
βλαχοδημαρχ,-1.0
βλεπ,0.0
βοιδαμαξ,-0.75
βολευ,0.0
βουιζ,-0.75
βουλησιαρχι,0.0
βουτυρ,-0.5
βουτυρομπεμπ,-1.0
βουτυροπαιδ,-1.0
βρ,-0.5
βρισκ,0.0
βρομοπαιδ,-0.75
βρομοποδαρ,-0.875
βρομοσκυλ,-1.0
βρομοχερ,-1.0
βρωμοπαιδ,-1.0
βρωμοποδαρ,-0.875
βρωμοχερ,-1.0
γαβγιζ,-0.75
γαβγισμ,-0.75
γαιδουροκαβαλαρι,-0.75
γαμαω,-0.25
γαμης,-0.75
γαμησιατικ,-1.0
γαμι,-0.5
γαμ,-0.75
γαμιολ,-0.75
γαμπρ,-0.25
γαμπρουλ,0.75
γαμω,-0.5
γαμωτ,-0.75
γαργαλ,0.5
γατακ,-0.5
γειτς,0.5
γελι,0.75
γεμιζ,0.25
γενικοτητ,0.0
γενναιοφρον,0.75
γερακ,0.75
γερμανοτσολι,-1.0
γερομπαμπαλ,-1.0
γεροντοκορ,-1.0
γεροξεκουτ,-1.0
γεροξουρ,-1.0
γεροπαραλυμενος,-1.0
γερος,-0.5
γεροτραγ,-1.0
γερουσι,-0.75
γευ,0.5
γευς,0.25
γηροκομει,-0.75
γιαλαντζ,-0.75
γιανκ,-1.0
γιατακ,0.5
γιατροσοφ,-0.75
γιοκ,-0.25
γιουφτακ,-1.0
γιουφτ,-1.0
γκαβακ,-1.0
γκαβ,-0.75
γκαβωμαρ,-1.0
γκαβων,-0.75
γκαμ,0.5
γκαμηλ,-1.0
γκαυλ,1.0
γκεσταπιτ,-0.75
γκιαουρ,-1.0
γκιος,-1.0
γκλαβ,-0.5
γκομενακι,-0.5
γκομενιλικ,-0.75
γκραν,0.0
γκρανκας,-1.0
γλαστρ,-1.0
γλειφτ,-1.0
γλειφτρ,-1.0
γλειφ,-1.0
γλεντ,0.25
γλυκ,0.75
γλυκυτητ,1.0
γλωσς,0.0
γνησιοτητ,0.5
γομαρ,-1.0
γραφι,-0.75
γραφικ,-0.5
γραφικοτητ,-0.5
γριουλ,0.75
γυαλακι,-0.75
γυμνι,-0.75
γυναικ,-0.25
γυριζ,0.0
γυριστρ,-0.75
γυροφερν,-0.5
γυφτακ,-1.0
γυφταρι,-1.0
γυφταρ,-1.0
γυφτι,-1.0
γυφτ,-1.0
γωνι,0.0
γωνιτς,0.5
δαμαζ,0.0
δαυτ,-1.0
δειγμ,-0.25
δειγματολογι,-0.25
δειχν,0.0
δ,0.25
δεσιμ,0.25
δεσμωτ,-1.0
διαβεβαιων,0.0
διαβολ,-1.0
διαθες,0.5
διαισθαν,-0.5
διαισθης,-0.5
διαισθητικοτητ,-0.5
διακατεχω,-0.25
διακονευ,-0.75
διακονι,-1.0
διαμαντικ,-0.25
διανθιζ,0.75
διαπνε,0.5
διασκεδαζ,1.0
διασπειρ,-0.25
διαστρεφω,-0.75
διαστροφ,-1.0
διαφημιστ,-0.5
διαφημιστικ,-0.5
διεγειρ,0.0
διεγερς,0.0
διεθν,0.0
διερμηνευ,0.0
διευθυντηρι,-0.5
δικαιοσυν,0.0
δικολαβ,-0.75
διοπτροφορ,-0.5
διοχετευ,-0.5
διπλαρωμ,-1.0
διπλαρων,-1.0
διπλωματ,-0.5
διπλωματικ,-0.25
διψ,0.0
διψαλεος,-0.5
δογμ,-0.5
δογματικ,-0.5
δοκησισοφι,-1.0
δοκησισοφ,-1.0
δοκιμαζ,0.0
δολι,-0.5
δονκιχοτικ,-0.75
δονκιχοτισμ,-0.75
δονκιχωτικ,-0.75
δορυφορ,-0.5
δοσοληψι,-0.5
δοτ,-0.5
δουλ,-0.8125
δουλακ,-1.0
δουλικ,-1.0
δραπετευ,-0.5
δραστ,-0.5
δροσιζ,0.75
δυσαισθησι,-0.75
δυσαρεσκει,-1.0
δυσθυμι,-1.0
δυσπεπτ,-0.75
δυσφορι,-1.0
δυσφορ,-1.0
δωμ,-0.5
εβραικ,-0.75
εβραι,-0.75
εγκεφαλ,-0.25
εγ,0.0
εγωισταρ,-0.75
εγωιστ,-0.75
εδαφ,0.0
εδεης,-0.5
εδω,0.0
εθελοντ,0.25
εθνοσωτηρ,0.0
ειδοποι,0.0
ειδυλλι,0.25
ειλικρινει,0.75
ειρων,-0.5
ειρωνει,-0.75
ειρωνευ,-0.75
εκατοχρονιτικ,-0.75
εκδηλων,0.0
εκδραμ,0.25
εκει,0.0
εκθαμβ,1.0
εκκολαπτ,-0.5
εκλογικευ,0.0
εκμυστηρευ,0.0
εκπληξ,0.25
εκπλησς,0.25
εκρηγνυ,-1.0
εκρηξ,-1.0
εκτελ,-0.75
εκτονων,-0.5
εκφραζ,0.0
εκφρας,0.0
ελεγει,0.25
ελεημοσυν,-0.75
ελ,-0.75
ελεφαντ,-0.25
ελε,-0.5
ελιτ,-0.25
εμετολογι,-1.0
εμετ,-1.0
εμπαθει,-1.0
εμπιστοσυν,1.0
εμπνε,0.5
εμποτιζ,0.5
εμφορ,0.5
εμφυς,0.5
εναργει,0.75
ενδοστρεφει,-0.75
ενθουσιασμ,1.0
ενθυλακων,-0.75
ενιοτ,-0.25
ενοχ,-1.0
ενοχλημ,-1.0
ενοχλης,-1.0
ενοχλ,-1.0
ενσπειρ,-0.5
ενσταλαζ,0.0
ενσυναισθημ,0.5
εντας,-1.0
εντυπως,0.0
εξαλειψ,-0.5
εξαργυρων,-0.5
εξαρς,-0.5
εξαρτης,-0.75
εξαψ,-0.25
εξεταζ,0.0
εξηνταβελον,-1.0
εξουθενων,-1.0
εξυπνακι,-0.75
εξυπνακιστικ,-1.0
εξυπν,0.25
εξυπνουλ,-0.5
εξυπνουλικ,-0.5
εξυπνουτσικος,-0.5
εξω,-0.25
εξωστρεφει,0.5
εξωτερικευς,0.5
εξωτερικευ,0.5
επαγγελματι,0.5
επηρεαζ,-0.5
επιβητορ,-0.5
επιγνως,0.5
επιδρομε,-0.5
επιδρ,0.0
επιθετικοτητ,-1.0
επιθυμ,1.0
επικαλ,0.0
επικοινων,0.5
επιλεκτικ,0.25
επισκεπτ,0.0
επισκεψ,0.0
επιφωνημ,0.0
εποχουμεν,-0.5
εραστ,-0.5
εργατοπατερ,-1.0
ερεθισμ,-0.375
ερημ,-1.0
εριφ,-1.0
ερμ,-1.0
ερπε,-0.25
ερχ,0.0
ερωτ,0.375
ερωτευ,1.0
εσωστρεφει,-0.75
ετεροκλητ,-0.75
ετοιματζιδικ,-0.75
ευαισθησι,-0.25
ευαισθητοποι,1.0
ευαρεσκει,1.0
ευαρεστ,1.0
ευγενει,0.75
ευγεν,0.5
ευγνωμον,0.75
ευδοκιμ,0.25
ευδοκ,0.5
ευεξι,1.0
ευκαιριακ,-0.5
ευκολι,-0.25
ευκολ,0.0
ευλογ,0.75
ευνουχιζ,-1.0
ευνουχισμ,-1.0
ευνουχ,-1.0
ευοσμι,1.0
ευοσμ,1.0
ευσημ,0.75
ευσπλαχνιζ,0.5
ευτραπελ,-0.75
ευφορι,1.0
ευφροσυν,1.0
ευφυι,0.5
ευφωνι,1.0
ευχαρ,0.25
ευχαριστης,1.0
ευχαριστ,0.75
ευωδι,1.0
εφετζιδικ,-0.5
εφευρετικ,0.75
εφιαλτ,-1.0
εχθρευ,-1.0
εχθροτητ,-1.0
εχ,0.0
ζαλαδ,-1.0
ζαλ,-0.75
ζεματω,-0.75
ζερβοκουταλ,-0.5
ζεσταιν,0.25
ζηλευ,-0.75
ζηλι,-0.75
ζηλ,-0.75
ζ,-0.5
ζουδ,-1.0
ζουμ,-0.5
ζουμπ,-0.75
ζουρλ,-0.5
ζων,-0.75
ζω,-1.0
ζωοφιλι,0.75
ηδονιζ,0.0
ηθικ,0.75
ησυχι,0.5
θαλπ,0.75
θαλπωρ,1.0
θαμπων,-0.25
θαυμαζ,1.0
θαυμασμ,1.0
θαυμαστ,1.0
θαυματουργ,1.0
θεαμ,0.5
θεατριζ,-0.5
θει,-0.875
θειτς,-1.0
θελ,0.25
θεματολογι,0.0
θ,0.25
θεους,-1.0
θεραπ,-0.5
θεριζ,-0.5
θερι,0.25
θερμοτητ,0.25
θε,-0.25
θεωρητικολογι,-0.75
θεωρητικολογ,-0.75
θηλυκ,-0.5
θηριακ,0.5
θηρι,-0.75
θλιβω,-1.0
θλιψ,-1.0
θορυβ,-1.0
θρασιμι,-1.0
θριλερ,-1.0
θυμης,0.25
θυμικ,-0.75
θυμων,-1.0
ιδεοληψι,-0.5
ιδιοτελει,-0.75
ιδ,-0.5
ιερατει,-0.5
ιερογλυφικ,-0.5
ικανοποιης,1.0
ικανος,0.75
ιλιγγος,-1.0
ιμπρεσιονισμ,0.0
ινστρουχτορ,-0.75
ιντελιγκεντσι,-0.75
ιπποποταμ,-1.0
ισοβι,-0.5
ισοβιως,-0.5
ισορροπι,0.5
καβαλ,-0.625
καβαλικευ,-0.5
καθαρς,1.0
καθηγητιλικ,-0.5
καθηκοντολογι,-0.5
καθησυχαζ,0.75
καθοδηγητ,-0.5
καθοριζ,0.0
καθοτ,0.0
καθωσπρεπ,-0.25
και,-0.5
κακαριζ,-0.5
κακοσμι,-0.75
κακουχι,-0.75
καλαμοκαν,-1.0
καλαμοποδαρ,-1.0
καλαμπαλικ,-0.75
καλημερουδι,0.75
καληνυχτουδι,0.75
καλησπερουδι,0.75
καλλιποπ,0.0
καλλον,1.0
καλλ,0.75
καλ,0.8125
καλογερευ,-0.5
καλογερ,-0.5
καλοκαιρακ,0.75
καλομαθαιν,-0.75
καλοπερασακι,-0.5
καλοπερν,0.0
καλυβακ,0.0
καλυβι,-0.25
καμακ,-0.5
καμακων,-0.5
καμαρ,0.5
καμαριλ,-1.0
καμαρων,1.0
καμηλ,-1.0
καμπαρετζ,-1.0
καναγι,-1.0
καν,-0.25
κανιβαλ,-1.0
κανονιερ,-0.5
κανονιζ,-0.5
καουρ,-0.75
καπελαδουρ,-0.75
καπελιν,-0.25
καπνικαρε,-1.0
καποι,0.0
καπου,0.0
καπουλ,-0.5
καπως,-0.5
καρ,-0.25
καραβαν,-1.0
καραβανσαραι,-0.75
καραβανσερα,-0.75
καραβοσκυλ,-0.5
καραγιαπι,-0.75
καραγκιοζακ,-1.0
καραγκιοζ,-1.0
καραγκιοζικ,-1.0
καραγκιοζιλιδικ,-1.0
καραγκιοζλιδικ,-1.0
καρακαηδον,-1.0
καρακαξ,-1.0
καραμπογι,-0.75
καραπουταν,-1.0
καραφλ,-0.8125
καρβουνιαρ,-0.5
καργ,-0.75
καργι,-1.0
καρδι,0.0
καρδιοχτυπ,-0.25
καρδουλ,1.0
καρεκλ,-0.25
καρεκλακ,0.0
καρεκλιτς,0.0
καρεκλοκενταυρ,-0.75
καριεριστ,-0.75
καριολ,-0.75
καρκαλετς,-1.0
καρκινιαρ,-1.0
καρκινοφοβι,-0.75
καρο,-0.5
καροδρομ,-0.75
καρπαζοεισπρακτορ,-1.0
καρπαζοεισπραχτορ,-1.0
καρπουζοκεφαλ,-0.75
καρφωμ,-0.75
καρφων,-0.75
καστ,-0.75
καταβοθρ,-0.75
καταδικ,-0.5
καταθες,0.0
κατακαι,-0.75
κατακαρδ,-0.75
κατακρεουργ,-1.0
κατακτης,-0.25
κατακτ,-0.25
κατακυριευ,-0.25
καταλαβαιν,0.25
καταλαμβαν,-0.5
κατανυξ,1.0
καταξοδευ,-0.75
καταπιν,-0.5
καταπνιγ,-0.5
καταπνιξ,-0.5
καταπραυνς,0.75
κατασβην,-0.5
κατασιγαζ,-0.25
κατασκευαζ,0.25
κατασκευασμ,-0.5
κατασκευ,0.0
κατασκοπ,-0.5
κατασταλαζ,0.25
καταστιχ,-0.75
κατατρομαζ,-1.0
καταυποχρεων,-0.5
καταφερν,0.75
καταψυξ,-0.25
κατεβαζ,0.0
κατεργαρ,-0.75
κατευναζ,0.75
κατεχ,-0.25
κατ,0.0
κατιν,-1.0
κατοικοεδρευ,-0.25
κατορθωμ,0.0
κατουρλιαρ,-1.0
κατουρ,-0.75
κατρουλιαρ,-1.0
κατσικοκλεφτ,-1.0
κατωτεροτητ,-0.75
κατωφλι,-0.25
καυλ,0.25
καυλιαρ,-0.25
καυλιτζεκι,-0.5
καυλιτσεκι,-0.5
καυλων,0.25
καυς,-0.5
καφενοβι,-0.5
καψιμ,-0.75
κειμηλι,0.75
κεκ,-0.5
κεκρακτ,-0.75
κεκραχτ,-0.5
κελεπουρ,0.25
κεν,-0.5
κεντριζ,0.5
κεντ,0.0
κερασοφορ,-0.25
κερατ,-0.625
κερδιζ,1.0
κεφαλ,0.0
κεχαγι,-0.75
κηδεμονευ,-0.75
κηδεμονι,-0.75
κιμωλι,-0.25
κιναιδ,-1.0
κιναισθησι,0.0
κιν,0.25
κιτρινιαρ,-0.75
κλαι,-1.0
κλανιαρ,-1.0
κλανω,-0.75
κλαπατς,-0.75
κλασικ,0.0
κλασιμ,-1.0
κλειν,0.0
κλεφτακ,-1.0
κλεφταρ,-1.0
κλεφτ,-1.0
κλεφτρακ,-1.0
κλεφτρ,-1.0
κλικ,-1.0
κλινικ,-0.625
κλοτσοπατιναδ,-0.75
κλωτσοπατιναδ,-0.75
κνωδαλ,-1.0
κοβω,-0.25
κοιλαρ,-1.0
κοιναισθησι,0.0
κοινοτητ,0.5
κοκαλιαρ,-0.75
κοκιτ,-0.5
κοκκινιζ,-0.25
κοκον,0.0
κοκορομαχι,-0.75
κολακευ,0.0
κολεγι,-0.5
κολλ,-0.75
κολομπαρ,-1.0
κολουμπρ,-0.75
κομ,-0.5
κομμαρ,-0.5
κομματοσκυλ,-1.0
κομμουν,-0.875
κομμουνιστοσυμμοριτ,-1.0
κομπανι,-0.25
κομπλεξ,-1.0
κομπογιαννιτ,-1.0
κονδυλοφορ,-0.75
κοντοβρακ,-0.75
κοπαδ,-1.0
κοπρ,-0.75
κοπρολογ,-0.75
κοπροσκυλ,-1.0
κορακ,-0.75
κορδων,-0.5
κορεννυ,-0.5
κορεσμ,-0.25
κορμακ,0.5
κορμαρ,1.0
κορμ,0.75
κορτακι,-0.75
κοσμακ,-0.75
κουδουν,-0.25
κουιντετ,-0.25
κουκι,-0.25
κουκουλωμ,-0.5
κουκουλων,-0.5
κουλ,-0.5
κουλοχερ,-0.5
κουλτουριαρ,-0.5
κουμας,-1.0
κουμμουν,-1.0
κουνιστ,-1.0
κουραδ,-1.0
κουραζ,-1.0
κουραμπι,-0.75
κουρας,-1.0
κουρκουτιαζ,-1.0
κουστωδι,-1.0
κουταμαρ,-0.75
κουτσαμαρ,-1.0
κουτσουρ,-0.75
κουφοβραζ,-0.5
κοχλαζ,-0.5
κοψιμ,-0.5
κρας,-0.5
κρασοκατανυξ,0.0
κρατ,0.0
κρεβατομουρμουρ,-1.0
κρεμ,-0.5
κρεπαρ,-1.0
κρις,-0.75
κρυαδ,-0.75
κρυβω,-0.5
κρυ,-0.9375
κρυφοκαμαρων,1.0
κρυων,-1.0
κτην,-1.0
κυβερνητ,-0.25
κυκλωμ,-0.75
κυμ,0.0
κυνικ,-0.75
κυρατς,-1.0
κυριαρχι,-0.25
κυριαρχ,-0.25
κυριευ,-0.5
κυρουλ,0.25
κωλοβαρα,-0.75
κωλογλειφτ,-1.0
κωλογλειφ,-1.0
κωλοδαχτυλ,-1.0
κωλομερι,-0.75
κωλοτρυπιδ,-0.5
κωλοχανει,-1.0
κωλοχαρτ,-0.75
λαβρ,-0.5
λαλ,-0.25
λαμποκοπ,0.75
λαμπ,0.75
λαμψ,0.75
λαουτζικ,-0.5
λαπ,-1.0
λασπ,-1.0
λαχτ,0.25
λειπ,-0.25
λειτουργημ,0.5
λεπταισθησι,0.75
λε,0.25
λησμονι,-0.75
λησμον,-0.75
λιγουρ,-0.625
λιγουρευ,-0.25
λιγων,-0.75
λιλ,-0.5
λιμαρ,-1.0
λιμαρικ,-1.0
λιμπιζ,0.75
λογακ,-0.5
λογοκρατ,-0.5
λογ,-0.5
λογυδρι,-0.75
λοιπον,0.0
λορδ,-0.5
λουλουδακ,0.25
λουλουδ,0.0
λυν,0.0
λυπ,-1.0
λυπης,-1.0
λυπω,-1.0
λυρισμ,0.0
λωποδυτ,-0.75
μαγαζ,-0.25
μαγαρ,-1.0
μαγκουφ,-1.0
μαγκων,-0.75
μαθ,-0.5
μαθημ,0.0
μαθηματακ,-0.5
μαθητοπατερ,-0.75
μαθητουδ,-0.5
μαιδαν,-1.0
μαιμουδιαρ,-1.0
μαινταν,-1.0
μακαρι,-0.25
μακαριτικ,-0.75
μακαριως,-0.5
μακαρον,-0.5
μαλακ,-0.75
μαλακισμεν,-0.75
μαλακιστηρ,-0.75
μαλαμ,0.75
μαλλιαρισμ,-0.75
μαλλιαρ,-0.5
μαλλι,-0.5
μαμμων,-1.0
μαμοθρεφτ,-1.0
μαμουνιαρ,-0.75
μανδαριν,-1.0
μανι,-0.5
μανιερισμ,-0.5
μανικ,-0.5
μαντευ,0.0
μαντ,-0.5
μαντισς,-0.5
μαντραχαλ,-0.75
μαντροσκυλ,-1.0
μαουν,-0.75
μαπ,-1.0
μαρμαρων,-0.75
μασκαρ,-0.5
μασονι,-0.75
μασον,-0.75
μασταρ,-0.75
μαστρ,0.0
μαστροχαλαστ,-1.0
ματακι,-1.0
μαυροτσουκαλ,-1.0
μαυροφορους,-0.5
μαφι,-0.75
μαφιοζικ,-0.75
μαφιοζ,-0.75
μεγαλοσχημ,-0.5
μεγαλουσιαν,-1.0
μεδουλ,-0.25
μεθ,0.5
μεθοκοπ,-0.75
μεθυστακ,-1.0
μειγμ,0.0
μει,-0.5
μειονεκτικοτητ,-1.0
μελαγχολι,-1.0
μελ,-0.75
μελοδραματισμ,-0.75
μεξιοβαρβαρ,-0.25
μερακ,1.0
μερακλων,1.0
μεταμελ,-0.75
μετανο,-0.75
μετεικασμ,0.0
μετρ,0.0
μικροαστ,-0.75
μικρομεγαλ,-0.75
μικροτητ,-0.75
μιλ,0.0
μισθοφορ,-0.5
μις,-1.0
μνημει,0.25
μνημειωδ,0.25
μνησικακι,-1.0
μνησικακ,-1.0
μοιραζ,0.0
μομολ,-1.0
μοναζ,-0.5
μοναξι,-0.75
μοναρχοφασιστ,-1.0
μονιμ,-1.0
μορμολυκει,-1.0
μορφασμ,-0.75
μουδιαζ,-0.75
μουλαρ,-1.0
μουλικ,-1.0
μουλ,-1.0
μουν,-0.5
μουνοπαν,-0.75
μουνοψειρ,-1.0
μουργ,-0.75
μουρ,-0.25
μουσικαντ,-0.75
μουσμουλ,-0.75
μουστογρι,-1.0
μουτρ,-0.25
μουτρων,-1.0
μοφρονι,-0.5
μπ,-0.5
μπαγασακ,0.0
μπαγας,0.0
μπαγασικ,-0.25
μπαγκατελ,-1.0
μπαζ,-0.5
μπαιλντιζ,-0.75
μπαινακ,-0.75
μπακαλοτεφτερ,-1.0
μπακαλοχαρτ,-1.0
μπακατελ,-1.0
μπαλαντερ,-0.25
μπαλαντζ,-1.0
μπαμι,-1.0
μπαμπαλ,-1.0
μπαμπογερ,-1.0
μπαμπογρι,-1.0
μπαμπω,-1.0
μπανακ,0.75
μπανανι,-0.75
μπασκιν,-1.0
μπασκλ,-1.0
μπασκλασαρι,-1.0
μπασταρδικ,-0.75
μπασταρδ,-0.75
μπαστουνοβλαχ,-0.75
μπατσαρι,-1.0
μπατσικ,-1.0
μπατσιν,-1.0
μπατς,-0.75
μπαφιαζ,-1.0
μπεκρ,-1.0
